Episode Number,Reward Sum,Running Reward
299,-21.0,-20.450510972091845
300,-21.0,-20.456005862370926
301,-19.0,-20.441445803747218
302,-21.0,-20.447031345709746
303,-21.0,-20.45256103225265
304,-18.0,-20.428035421930122
305,-21.0,-20.433755067710823
306,-21.0,-20.439417517033714
307,-21.0,-20.44502334186338
308,-21.0,-20.450573108444747
309,-21.0,-20.4560673773603
310,-21.0,-20.461506703586696
311,-21.0,-20.46689163655083
312,-21.0,-20.47222272018532
313,-18.0,-20.44750049298347
314,-21.0,-20.453025488053633
315,-21.0,-20.458495233173096
316,-21.0,-20.463910280841365
317,-19.0,-20.44927117803295
318,-20.0,-20.44477846625262
319,-21.0,-20.450330681590096
320,-20.0,-20.445827374774193
321,-21.0,-20.45136910102645
322,-21.0,-20.456855410016185
323,-21.0,-20.462286855916023
324,-21.0,-20.467663987356865
325,-19.0,-20.452987347483297
326,-21.0,-20.458457474008465
327,-18.0,-20.43387289926838
328,-21.0,-20.439534170275696
329,-21.0,-20.44513882857294
330,-21.0,-20.45068744028721
331,-20.0,-20.446180565884337
332,-21.0,-20.451718760225493
333,-21.0,-20.457201572623237
334,-18.0,-20.432629556897005
335,-21.0,-20.438303261328034
336,-18.0,-20.413920228714755
337,-21.0,-20.419781026427607
338,-18.0,-20.39558321616333
339,-21.0,-20.4016273840017
340,-20.0,-20.39761111016168
341,-20.0,-20.393634999060062
342,-19.0,-20.37969864906946
343,-20.0,-20.375901662578766
344,-21.0,-20.382142645952978
345,-19.0,-20.36832121949345
346,-21.0,-20.374638007298515
347,-21.0,-20.38089162722553
348,-20.0,-20.377082710953275
349,-21.0,-20.383311883843742
350,-21.0,-20.389478765005304
351,-20.0,-20.38558397735525
352,-21.0,-20.391728137581698
353,-21.0,-20.397810856205883
354,-21.0,-20.403832747643825
355,-21.0,-20.409794420167387
356,-20.0,-20.405696475965712
357,-20.0,-20.401639511206053
358,-20.0,-20.397623116093992
359,-20.0,-20.39364688493305
360,-20.0,-20.38971041608372
361,-21.0,-20.395813311922883
362,-21.0,-20.401855178803654
363,-18.0,-20.37783662701562
364,-21.0,-20.384058260745462
365,-21.0,-20.390217678138008
366,-21.0,-20.39631550135663
367,-21.0,-20.40235234634306
368,-19.0,-20.388328822879632
369,-16.0,-20.344445534650838
370,-21.0,-20.35100107930433
371,-20.0,-20.347491068511285
372,-21.0,-20.354016157826173
373,-19.0,-20.340475996247914
374,-21.0,-20.347071236285437
375,-20.0,-20.343600523922582
376,-19.0,-20.330164518683357
377,-21.0,-20.336862873496525
378,-19.0,-20.323494244761562
379,-21.0,-20.330259302313948
380,-21.0,-20.33695670929081
381,-21.0,-20.3435871421979
382,-21.0,-20.35015127077592
383,-21.0,-20.356649758068162
384,-20.0,-20.35308326048748
385,-21.0,-20.359552427882605
386,-21.0,-20.36595690360378
387,-21.0,-20.372297334567744
388,-20.0,-20.368574361222066
389,-21.0,-20.374888617609844
390,-21.0,-20.38113973143375
391,-18.0,-20.357328334119412
392,-19.0,-20.34375505077822
393,-21.0,-20.35031750027044
394,-21.0,-20.356814325267734
395,-21.0,-20.363246182015057
396,-21.0,-20.36961372019491
397,-21.0,-20.37591758299296
398,-20.0,-20.37215840716303
399,-21.0,-20.378436823091402
400,-21.0,-20.38465245486049
401,-21.0,-20.390805930311885
402,-21.0,-20.39689787100877
403,-21.0,-20.402928892298682
404,-20.0,-20.398899603375696
405,-20.0,-20.394910607341938
406,-21.0,-20.40096150126852
407,-19.0,-20.386951886255833
408,-20.0,-20.383082367393275
409,-21.0,-20.389251543719343
410,-21.0,-20.39535902828215
411,-21.0,-20.40140543799933
412,-21.0,-20.407391383619338
413,-20.0,-20.403317469783143
414,-21.0,-20.409284295085314
415,-21.0,-20.41519145213446
416,-21.0,-20.42103953761312
417,-20.0,-20.41682914223699
418,-21.0,-20.42266085081462
419,-21.0,-20.428434242306473
420,-21.0,-20.43414989988341
421,-20.0,-20.429808400884575
422,-21.0,-20.435510316875728
423,-20.0,-20.43115521370697
424,-21.0,-20.4368436615699
425,-21.0,-20.4424752249542
426,-20.0,-20.438050472704656
427,-20.0,-20.433669967977607
428,-21.0,-20.439333268297833
429,-21.0,-20.444939935614855
430,-21.0,-20.450490536258705
431,-21.0,-20.45598563089612
432,-18.0,-20.431425774587158
433,-21.0,-20.437111516841288
434,-19.0,-20.422740401672876
435,-19.0,-20.408512997656146
436,-21.0,-20.414427867679585
437,-21.0,-20.42028358900279
438,-21.0,-20.42608075311276
439,-21.0,-20.431819945581633
440,-19.0,-20.41750174612582
441,-21.0,-20.423326728664563
442,-21.0,-20.429093461377917
443,-21.0,-20.434802526764138
444,-21.0,-20.440454501496497
445,-21.0,-20.44604995648153
446,-21.0,-20.451589456916714
447,-21.0,-20.45707356234755
448,-20.0,-20.45250282672407
449,-21.0,-20.45797779845683
450,-20.0,-20.45339802047226
451,-20.0,-20.448864040267537
452,-21.0,-20.454375399864862
453,-21.0,-20.459831645866213
454,-21.0,-20.465233329407553
455,-20.0,-20.460580996113478
456,-19.0,-20.445975186152346
457,-21.0,-20.451515434290823
458,-19.0,-20.437000279947917
459,-19.0,-20.42263027714844
