Episode Number,Reward Sum,Running Reward
5267,-19,-20.1391796
5268,-19,-20.12778781
5269,-20,-20.12650993
5270,-21,-20.13524483
5271,-20,-20.13389238
5272,-19,-20.12255346
5273,-21,-20.13132792
5274,-20,-20.13001464
5275,-19,-20.1187145
5276,-19,-20.10752735
5277,-21,-20.11645208
5278,-20,-20.11528756
5279,-18,-20.09413468
5280,-21,-20.10319333
5281,-20,-20.1021614
5282,-20,-20.10113979
5283,-21,-20.11012839
5284,-21,-20.1190271
5285,-21,-20.12783683
5286,-19,-20.11655847
5287,-21,-20.12539288
5288,-21,-20.13413895
5289,-19,-20.12279756
5290,-21,-20.13156959
5291,-21,-20.14025389
5292,-21,-20.14885135
5293,-21,-20.15736284
5294,-21,-20.16578921
5295,-20,-20.16413132
5296,-20,-20.16249
5297,-19,-20.1508651
5298,-21,-20.15935645
5299,-21,-20.16776289
5300,-21,-20.17608526
5301,-19,-20.16432441
5302,-21,-20.17268116
5303,-20,-20.17095435
5304,-21,-20.17924481
5305,-20,-20.17745236
5306,-21,-20.18567784
5307,-21,-20.19382106
5308,-21,-20.20188285
5309,-20,-20.19986402
5310,-17,-20.16786538
5311,-21,-20.17618673
5312,-21,-20.18442486
5313,-21,-20.19258061
5314,-20,-20.1906548
5315,-21,-20.19874826
5316,-21,-20.20676077
5317,-18,-20.18469317
5318,-19,-20.17284623
5319,-19,-20.16111777
5320,-21,-20.16950659
5321,-19,-20.15781153
5322,-19,-20.14623341
5323,-21,-20.15477108
5324,-20,-20.15322337
5325,-20,-20.15169113
5326,-21,-20.16017422
5327,-21,-20.16857248
5328,-21,-20.17688676
5329,-20,-20.17511789
5330,-20,-20.17336671
5331,-20,-20.17163304
5332,-21,-20.17991671
5333,-20,-20.17811754
5334,-19,-20.16633637
5335,-21,-20.17467301
5336,-20,-20.17292628
5337,-20,-20.17119701
5338,-21,-20.17948504
5339,-21,-20.18769019
5340,-21,-20.19581329
5341,-21,-20.20385516
5342,-21,-20.21181661
5343,-20,-20.20969844
5344,-20,-20.20760145
5345,-21,-20.21552544
5346,-19,-20.20337019
5347,-20,-20.20133648
5348,-20,-20.19932312
5349,-21,-20.20732989
5350,-21,-20.21525659
5351,-20,-20.21310402
5352,-21,-20.22097298
5353,-20,-20.21876325
5354,-20,-20.21657562
5355,-19,-20.20440986
5356,-21,-20.21236577
5357,-19,-20.20024211
5358,-21,-20.20823969
5359,-21,-20.21615729
5360,-20,-20.21399572
5361,-19,-20.20185576
5362,-20,-20.1998372
5363,-20,-20.19783883
5364,-20,-20.19586044
5365,-18,-20.17390184
5366,-21,-20.18216282
5367,-21,-20.19034119
5368,-21,-20.19843778
5369,-21,-20.2064534
5370,-20,-20.20438887
5371,-19,-20.19234498
5372,-18,-20.17042153
5373,-21,-20.17871731
5374,-21,-20.18693014
5375,-20,-20.18506084
5376,-20,-20.18321023
5377,-21,-20.19137813
5378,-20,-20.18946435
5379,-18,-20.1675697
5380,-21,-20.17589401
5381,-20,-20.17413507
5382,-21,-20.18239372
5383,-20,-20.18056978
5384,-19,-20.16876408
5385,-20,-20.16707644
5386,-18,-20.14540568
5387,-20,-20.14395162
5388,-21,-20.1525121
5389,-20,-20.15098698
5390,-18,-20.12947711
5391,-20,-20.12818234
5392,-18,-20.10690052
5393,-21,-20.11583151
5394,-19,-20.1046732
5395,-20,-20.10362647
5396,-20,-20.1025902
5397,-21,-20.1115643
5398,-21,-20.12044866
5399,-19,-20.10924417
5400,-20,-20.10815173
5401,-21,-20.11707021
5402,-21,-20.12589951
5403,-21,-20.13464051
5404,-21,-20.14329411
5405,-21,-20.15186117
5406,-21,-20.16034256
5407,-19,-20.14873913
5408,-20,-20.14725174
5409,-21,-20.15577922
5410,-19,-20.14422143
5411,-21,-20.15277921
5412,-20,-20.15125142
5413,-20,-20.14973891
5414,-19,-20.13824152
5415,-20,-20.1368591
5416,-18,-20.11549051
5417,-19,-20.10433561
5418,-21,-20.11329225
5419,-20,-20.11215933
5420,-17,-20.08103774
5421,-21,-20.09022736
5422,-20,-20.08932508
5423,-21,-20.09843183
5424,-21,-20.10744752
5425,-21,-20.11637304
5426,-20,-20.11520931
5427,-17,-20.08405722
5428,-20,-20.08321664
5429,-21,-20.09238448
5430,-20,-20.09146063
5431,-20,-20.09054603
5432,-19,-20.07964057
5433,-21,-20.08884416
5434,-19,-20.07795572
5435,-20,-20.07717616
5436,-20,-20.0764044
5437,-20,-20.07564036
5438,-20,-20.07488395
5439,-20,-20.07413511
5440,-21,-20.08339376
5441,-21,-20.09255982
5442,-21,-20.10163423
5443,-21,-20.11061788
5444,-19,-20.09951171
5445,-21,-20.10851659
5446,-20,-20.10743142
5447,-21,-20.11635711
5448,-21,-20.12519354
5449,-21,-20.1339416
5450,-21,-20.14260219
5451,-21,-20.15117616
5452,-21,-20.1596644
5453,-19,-20.14806776
5454,-20,-20.14658708
5455,-21,-20.15512121
5456,-20,-20.15357
5457,-20,-20.1520343
5458,-21,-20.16051395
5459,-19,-20.14890882
5460,-19,-20.13741973
5461,-18,-20.11604553
5462,-20,-20.11488507
5463,-20,-20.11373622
5464,-21,-20.12259886
5465,-21,-20.13137287
5466,-20,-20.13005914
5467,-21,-20.13875855
5468,-18,-20.11737097
5469,-20,-20.11619726
5470,-20,-20.11503529
5471,-18,-20.09388493
5472,-20,-20.09294608
5473,-21,-20.10201662
5474,-20,-20.10099646
5475,-21,-20.10998649
5476,-20,-20.10888663
5477,-21,-20.11779776
5478,-21,-20.12661978
5479,-20,-20.12535358
5480,-19,-20.11410005
5481,-19,-20.10295905
5482,-21,-20.11192946
5483,-20,-20.11081016
5484,-21,-20.11970206
5485,-20,-20.11850504
5486,-20,-20.11731999
5487,-20,-20.11614679
5488,-21,-20.12498532
5489,-21,-20.13373547
5490,-21,-20.14239811
5491,-20,-20.14097413
5492,-20,-20.13956439
5493,-21,-20.14816875
5494,-20,-20.14668706
5495,-21,-20.15522019
5496,-21,-20.16366799
5497,-20,-20.16203131
5498,-21,-20.170411
5499,-21,-20.17870689
5500,-18,-20.15691982
5501,-21,-20.16535062
5502,-21,-20.17369711
5503,-17,-20.14196014
5504,-20,-20.14054054
5505,-21,-20.14913513
5506,-19,-20.13764378
5507,-21,-20.14626735
5508,-21,-20.15480467
5509,-20,-20.15325663
5510,-20,-20.15172406
5511,-20,-20.15020682
5512,-21,-20.15870475
5513,-21,-20.1671177
5514,-18,-20.14544653
5515,-20,-20.14399206
5516,-21,-20.15255214
5517,-18,-20.13102662
5518,-21,-20.13971635
5519,-21,-20.14831919
5520,-21,-20.156836
5521,-19,-20.14526764
5522,-21,-20.15381496
5523,-20,-20.15227681
5524,-20,-20.15075404
5525,-21,-20.1592465
5526,-21,-20.16765404
5527,-21,-20.1759775
5528,-20,-20.17421772
5529,-21,-20.18247554
5530,-21,-20.19065079
5531,-21,-20.19874428
5532,-18,-20.17675684
5533,-20,-20.17498927
5534,-19,-20.16323938
5535,-20,-20.16160698
5536,-21,-20.16999091
5537,-21,-20.178291
5538,-21,-20.18650809
5539,-20,-20.18464301
5540,-21,-20.19279658
